2.80	2.30	1.70	999999	2.80	3.40	999999	3.40	1.70	999999	2.10	1.00	999999	3.10	2.20	2.90
2.80	2.30	1.70	999999	2.80	2.80	999999	2.80	1.70	999999	2.10	0.00	999999	2.50	1.20	1.90
1.70	1.30	0.70	999999	1.70	2.70	999999	2.70	0.70	999999	1.10	0.70	999999	2.40	2.00	2.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.30	1.90	1.30	999999	2.30	2.30	999999	2.30	1.30	999999	1.70	-0.50	999999	2.00	0.80	1.50
3.40	2.30	2.70	999999	2.80	2.80	999999	2.80	2.70	999999	2.70	1.00	999999	2.50	2.20	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.10	2.00	2.40	999999	2.50	2.50	999999	2.50	2.40	999999	2.40	0.70	999999	2.20	1.90	1.60
1.70	1.30	0.70	999999	1.70	2.70	999999	2.70	0.70	999999	1.10	0.70	999999	2.40	2.00	2.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.10	1.70	1.10	999999	2.10	2.70	999999	2.70	1.10	999999	1.50	0.30	999999	2.40	1.60	2.30
2.20	0.80	2.00	999999	1.20	2.20	999999	2.20	2.00	999999	1.60	-1.60	999999	1.90	-0.30	2.20
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.40	2.30	2.70	999999	2.80	2.80	999999	2.80	2.70	999999	2.70	1.00	999999	2.50	2.20	1.90
1.00	-0.50	0.70	999999	0.00	1.00	999999	1.00	0.70	999999	0.30	-2.90	999999	0.70	-1.60	0.90
2.90	1.50	2.70	999999	1.90	1.90	999999	1.90	2.70	999999	2.30	0.90	999999	1.60	2.20	1.10
2.10	1.90	0.10	999999	1.80	2.50	999999	1.50	0.70	999999	1.80	0.00	999999	2.50	0.40	2.10
2.10	1.90	0.10	999999	1.80	1.90	999999	0.90	0.70	999999	1.80	-1.00	999999	1.90	-0.60	1.10
1.10	0.80	-0.90	999999	0.80	1.80	999999	0.90	-0.30	999999	0.70	-0.30	999999	1.90	0.10	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.70	1.40	-0.30	999999	1.40	1.40	999999	0.40	0.30	999999	1.30	-1.50	999999	1.50	-1.10	0.70
2.70	1.90	1.10	999999	1.80	1.90	999999	0.90	1.70	999999	2.40	0.00	999999	1.90	0.40	1.10
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.40	1.60	0.80	999999	1.50	1.60	999999	0.60	1.40	999999	2.10	-0.30	999999	1.60	0.10	0.80
1.10	0.80	-0.90	999999	0.80	1.80	999999	0.90	-0.30	999999	0.70	-0.30	999999	1.90	0.10	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.50	1.20	-0.50	999999	1.20	1.80	999999	0.80	0.10	999999	1.10	-0.70	999999	1.90	-0.30	1.50
1.60	0.30	0.40	999999	0.30	1.30	999999	0.40	1.00	999999	1.20	-2.60	999999	1.40	-2.20	1.40
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.70	1.90	1.10	999999	1.80	1.90	999999	0.90	1.70	999999	2.40	0.00	999999	1.90	0.40	1.10
0.30	-0.90	-0.90	999999	-1.00	0.10	999999	-0.90	-0.30	999999	0.00	-3.90	999999	0.10	-3.50	0.10
2.30	1.00	1.10	999999	1.00	1.00	999999	0.00	1.70	999999	1.90	-0.10	999999	1.10	0.30	0.30
2.00	1.90	1.00	999999	2.40	2.80	999999	2.70	1.00	999999	1.80	0.30	999999	2.70	1.80	2.20
2.00	1.90	1.00	999999	2.40	2.20	999999	2.10	1.00	999999	1.80	-0.70	999999	2.10	0.80	1.20
1.00	0.90	0.00	999999	1.30	2.20	999999	2.00	0.00	999999	0.70	0.10	999999	2.00	1.60	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.60	1.50	0.60	999999	1.90	1.80	999999	1.60	0.60	999999	1.30	-1.10	999999	1.60	0.40	0.70
2.60	1.90	2.00	999999	2.40	2.20	999999	2.10	2.00	999999	2.40	0.30	999999	2.10	1.80	1.20
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.30	1.60	1.70	999999	2.10	1.90	999999	1.80	1.70	999999	2.10	0.00	999999	1.80	1.50	0.90
1.00	0.90	0.00	999999	1.30	2.20	999999	2.00	0.00	999999	0.70	0.10	999999	2.00	1.60	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
1.40	1.30	0.40	999999	1.70	2.20	999999	2.00	0.40	999999	1.10	-0.30	999999	2.00	1.20	1.50
1.50	0.40	1.30	999999	0.80	1.70	999999	1.50	1.30	999999	1.20	-2.20	999999	1.50	-0.70	1.50
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.60	1.90	2.00	999999	2.40	2.20	999999	2.10	2.00	999999	2.40	0.30	999999	2.10	1.80	1.20
0.20	-0.90	0.00	999999	-0.40	0.40	999999	0.30	0.00	999999	0.00	-3.50	999999	0.30	-2.00	0.20
2.20	1.10	2.00	999999	1.50	1.40	999999	1.20	2.00	999999	1.90	0.30	999999	1.20	1.80	0.30
2.80	2.50	1.50	999999	2.60	3.10	999999	3.10	1.50	999999	2.10	1.30	999999	3.10	2.30	2.70
2.80	2.50	1.50	999999	2.60	2.50	999999	2.50	1.50	999999	2.10	0.30	999999	2.50	1.30	1.70
1.70	1.50	0.50	999999	1.60	2.40	999999	2.40	0.50	999999	1.00	1.10	999999	2.40	2.10	2.40
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.30	2.10	1.10	999999	2.20	2.00	999999	2.00	1.10	999999	1.60	-0.10	999999	2.00	0.90	1.20
3.40	2.50	2.50	999999	2.60	2.50	999999	2.50	2.50	999999	2.70	1.30	999999	2.50	2.30	1.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.10	2.20	2.20	999999	2.30	2.20	999999	2.20	2.20	999999	2.40	1.00	999999	2.20	2.00	1.40
1.70	1.50	0.50	999999	1.60	2.40	999999	2.40	0.50	999999	1.00	1.10	999999	2.40	2.10	2.40
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.10	1.90	0.90	999999	2.00	2.40	999999	2.40	0.90	999999	1.40	0.70	999999	2.40	1.70	2.00
2.20	1.00	1.80	999999	1.10	1.90	999999	1.90	1.80	999999	1.50	-1.20	999999	1.90	-0.20	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.40	2.50	2.50	999999	2.60	2.50	999999	2.50	2.50	999999	2.70	1.30	999999	2.50	2.30	1.70
1.00	-0.30	0.50	999999	-0.20	0.70	999999	0.70	0.50	999999	0.30	-2.50	999999	0.70	-1.50	0.70
2.90	1.70	2.50	999999	1.80	1.60	999999	1.60	2.50	999999	2.20	1.30	999999	1.60	2.30	0.80
2.80	2.30	1.70	999999	2.80	3.40	999999	3.40	1.70	999999	2.10	1.00	999999	3.10	2.20	2.90
2.80	2.30	1.70	999999	2.80	2.80	999999	2.80	1.70	999999	2.10	0.00	999999	2.50	1.20	1.90
1.70	1.30	0.70	999999	1.70	2.70	999999	2.70	0.70	999999	1.10	0.70	999999	2.40	2.00	2.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.30	1.90	1.30	999999	2.30	2.30	999999	2.30	1.30	999999	1.70	-0.50	999999	2.00	0.80	1.50
3.40	2.30	2.70	999999	2.80	2.80	999999	2.80	2.70	999999	2.70	1.00	999999	2.50	2.20	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.10	2.00	2.40	999999	2.50	2.50	999999	2.50	2.40	999999	2.40	0.70	999999	2.20	1.90	1.60
1.70	1.30	0.70	999999	1.70	2.70	999999	2.70	0.70	999999	1.10	0.70	999999	2.40	2.00	2.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.10	1.70	1.10	999999	2.10	2.70	999999	2.70	1.10	999999	1.50	0.30	999999	2.40	1.60	2.30
2.20	0.80	2.00	999999	1.20	2.20	999999	2.20	2.00	999999	1.60	-1.60	999999	1.90	-0.30	2.20
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.40	2.30	2.70	999999	2.80	2.80	999999	2.80	2.70	999999	2.70	1.00	999999	2.50	2.20	1.90
1.00	-0.50	0.70	999999	0.00	1.00	999999	1.00	0.70	999999	0.30	-2.90	999999	0.70	-1.60	0.90
2.90	1.50	2.70	999999	1.90	1.90	999999	1.90	2.70	999999	2.30	0.90	999999	1.60	2.20	1.10
2.80	2.50	1.50	999999	2.60	3.10	999999	3.10	1.50	999999	2.10	1.30	999999	3.10	2.30	2.70
2.80	2.50	1.50	999999	2.60	2.50	999999	2.50	1.50	999999	2.10	0.30	999999	2.50	1.30	1.70
1.70	1.50	0.50	999999	1.60	2.40	999999	2.40	0.50	999999	1.00	1.10	999999	2.40	2.10	2.40
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.30	2.10	1.10	999999	2.20	2.00	999999	2.00	1.10	999999	1.60	-0.10	999999	2.00	0.90	1.20
3.40	2.50	2.50	999999	2.60	2.50	999999	2.50	2.50	999999	2.70	1.30	999999	2.50	2.30	1.70
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.10	2.20	2.20	999999	2.30	2.20	999999	2.20	2.20	999999	2.40	1.00	999999	2.20	2.00	1.40
1.70	1.50	0.50	999999	1.60	2.40	999999	2.40	0.50	999999	1.00	1.10	999999	2.40	2.10	2.40
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2.10	1.90	0.90	999999	2.00	2.40	999999	2.40	0.90	999999	1.40	0.70	999999	2.40	1.70	2.00
2.20	1.00	1.80	999999	1.10	1.90	999999	1.90	1.80	999999	1.50	-1.20	999999	1.90	-0.20	1.90
999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
3.40	2.50	2.50	999999	2.60	2.50	999999	2.50	2.50	999999	2.70	1.30	999999	2.50	2.30	1.70
1.00	-0.30	0.50	999999	-0.20	0.70	999999	0.70	0.50	999999	0.30	-2.50	999999	0.70	-1.50	0.70
2.90	1.70	2.50	999999	1.80	1.60	999999	1.60	2.50	999999	2.20	1.30	999999	1.60	2.30	0.80
